State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Andaman & Nicobar,Nicobars,01-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,02-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,03-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,04-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,05-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,01-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,02-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,03-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,04-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,05-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,01-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,02-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,03-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,04-08-2023,2023,8,NA,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,05-08-2023,2023,8,NA,NRSC VIC MODEL
Andhra Pradesh,Anantapur,01-08-2023,2023,8,24.53556537,NRSC VIC MODEL
Andhra Pradesh,Anantapur,02-08-2023,2023,8,23.53763163,NRSC VIC MODEL
Andhra Pradesh,Anantapur,03-08-2023,2023,8,22.72526681,NRSC VIC MODEL
Andhra Pradesh,Anantapur,04-08-2023,2023,8,21.95806854,NRSC VIC MODEL
Andhra Pradesh,Anantapur,05-08-2023,2023,8,21.55941863,NRSC VIC MODEL
Andhra Pradesh,Chittoor,01-08-2023,2023,8,23.28070295,NRSC VIC MODEL
Andhra Pradesh,Chittoor,02-08-2023,2023,8,22.52282014,NRSC VIC MODEL
Andhra Pradesh,Chittoor,03-08-2023,2023,8,21.82147381,NRSC VIC MODEL
Andhra Pradesh,Chittoor,04-08-2023,2023,8,21.15985055,NRSC VIC MODEL
Andhra Pradesh,Chittoor,05-08-2023,2023,8,20.7447061,NRSC VIC MODEL
Andhra Pradesh,East Godavari,01-08-2023,2023,8,27.88634161,NRSC VIC MODEL
Andhra Pradesh,East Godavari,02-08-2023,2023,8,28.75179165,NRSC VIC MODEL
Andhra Pradesh,East Godavari,03-08-2023,2023,8,27.40117737,NRSC VIC MODEL
Andhra Pradesh,East Godavari,04-08-2023,2023,8,26.63464478,NRSC VIC MODEL
Andhra Pradesh,East Godavari,05-08-2023,2023,8,25.73711076,NRSC VIC MODEL
Andhra Pradesh,Guntur,01-08-2023,2023,8,28.92221769,NRSC VIC MODEL
Andhra Pradesh,Guntur,02-08-2023,2023,8,27.769217,NRSC VIC MODEL
Andhra Pradesh,Guntur,03-08-2023,2023,8,26.71679409,NRSC VIC MODEL
Andhra Pradesh,Guntur,04-08-2023,2023,8,25.76525345,NRSC VIC MODEL
Andhra Pradesh,Guntur,05-08-2023,2023,8,24.91290656,NRSC VIC MODEL
